"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 04 01:36:16 CEST 2019","Tue Jun 04 01:36:16 CEST 2019","21","","com.wallapop.functionality.delivery.behaviour.DeliveryTutorialsTest","","com.wallapop.functionality.delivery.behaviour.DeliveryTutorialsTest","delivery_buyerTutorialFromPayItem_TutorialDisplayed","[C679] Delivery tutorials: Go to buyer tutorial from pay item",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","4","","com.wallapop.functionality.delivery.behaviour.DeliveryCreditCardTest","","com.wallapop.functionality.delivery.behaviour.DeliveryCreditCardTest","delivery_addCreditCardWithInvalidInfo_registerFailed","[C12546] Delivery accounts: Register a card with invalid info",""
"broken","Tue Jun 04 01:36:27 CEST 2019","Tue Jun 04 01:36:27 CEST 2019","306","","User)","","User)","[C727] Login: Login with a right Wallapop credentials(loginWallapopAccount_05_setValidCredentials_isUserLogged","[C727] Login: Login with a right Wallapop credentials(loginWallapopAccount_05_setValidCredentials_isUserLogged",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","11","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","registerWallapopAccount_01_seeTermsAndConditions_goBackRegisterScreen","[C17027] Register: See Terms and Conditions from Wallapop register screen",""
"broken","Tue Jun 04 01:36:23 CEST 2019","Tue Jun 04 01:36:23 CEST 2019","280","","SearchCG)","","SearchCG)","[C37161D] Save Searches: Try to save an existing search(SaveSearch_04_SaveExistingSearch_IsSavingNotAllowed","[C37161D] Save Searches: Try to save an existing search(SaveSearch_04_SaveExistingSearch_IsSavingNotAllowed",""
"broken","Tue Jun 04 01:36:16 CEST 2019","Tue Jun 04 01:36:16 CEST 2019","23","","DeliveryTutorialsTest","","DeliveryTutorialsTest","[C12596] Delivery tutorials: Go to Faqs from General Tutorial","[C12596] Delivery tutorials: Go to Faqs from General Tutorial",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","15","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","registerWallapopAccount_08_selectFavCategories_isWallDisplayed","[C26851C] Onboarding: Select favourite categories (Categories: TV, Audio & Cameras|Computers & Electronic|Cell Phones & Accessories|Movies, Books & Music)",""
"broken","Tue Jun 04 01:36:32 CEST 2019","Tue Jun 04 01:36:32 CEST 2019","14","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","editProfile_06_EditGender_IsGenderAdded","[C12598] Profile edition: Change gender",""
"broken","Tue Jun 04 01:36:35 CEST 2019","Tue Jun 04 01:36:35 CEST 2019","20","","UserStatus)","","UserStatus)","Inbox actions - Active conversations: Go to a conversation with the user UNAVAILABLE(ActivesInbox_Actions_05_GoToConversationByUserStatus_IsConversationDisplayed","Inbox actions - Active conversations: Go to a conversation with the user UNAVAILABLE(ActivesInbox_Actions_05_GoToConversationByUserStatus_IsConversationDisplayed",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","14","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","registerWallapopAccount_08_selectFavCategories_isWallDisplayed","[C26851C] Onboarding: Select favourite categories (Categories: Cars|Motor & Accesories)",""
